_id,company_address,company_name,name,salary,site_scraping,vacancy_link
5f5b8fbb5007de8d97a4ee18,Выставочная,Синема Стар,Python developer,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/python-developer-34284293.html
5f5b8fbd5007de8d97a4ee19,Москва,Хейфец Олег Олегович,Junior Fullstack Developer,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/junior-fullstack-developer-34426626.html
5f5b8fc15007de8d97a4ee1b,Щелковская,ТЭК Электроникс,Системный администратор,80000  —  90000  руб.,superjob.ru,https://russia.superjob.ru/vakansii/sistemnyj-administrator-34447829.html
5f5b8fc55007de8d97a4ee1d,Уфа,Фином-Технологии,Full-stack tester,до  120000руб.,superjob.ru,https://russia.superjob.ru/vakansii/full-stack-tester-34382598.html
5f5b8fc75007de8d97a4ee1f,Проспект Мира,МГТС,Ведущий инженер СРК,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/veduschij-inzhener-srk-34433915.html
5f5b8fcc5007de8d97a4ee21,Москва,Easy Partners Group,Product-менеджер,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/product-menedzher-34455158.html
5f5b8fcf5007de8d97a4ee23,"Ростов-на-Дону, Доломановский переулок, 70Г",DATUM Group,Backend-разработчик,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/backend-razrabotchik-34523629.html
5f5b8fd15007de8d97a4ee25,Москва,ОптиКом,DevOps инженер,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/devops-inzhener-34312470.html
5f5b8fd55007de8d97a4ee27,"Московская область, Химки, проспект Мельникова, 16","Учебно-производственный центр ""Унитех""",Преподаватель программирования,1000  руб.,superjob.ru,https://russia.superjob.ru/vakansii/prepodavatel-programmirovaniya-34382771.html
5f5b8fd95007de8d97a4ee29,"Краснодар, Кузнечная улица, 6",ИЦ Региональные системы,Системный инженер (аналитик-программист),По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/sistemnyj-inzhener-34448230.html
5f5b8fdd5007de8d97a4ee2b,"Москва, Кольцевая линия, метро Павелецкая",Смартплеер,Разработчик NodeJS,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/razrabotchik-nodejs-34338584.html
5f5b8fe05007de8d97a4ee2d,Хабаровск,Сбербанк России,Руководитель направления в управление серверов приложений,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/rukovoditel-napravleniya-v-upravlenie-serverov-prilozhenij-34345216.html
5f5b8fe45007de8d97a4ee30,Москва,"РА ""Подбор персонала @ HR аудит""",Senior Python Developer,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/senior-python-developer-34421314.html
5f5b8fe85007de8d97a4ee32,Москва,КИБЕРБОРЕЯ,Программист Python,120000  —  150000  руб.,superjob.ru,https://russia.superjob.ru/vakansii/programmist-python-34345798.html
5f5b8feb5007de8d97a4ee34,"Москва, Щукинская улица, 5с6",ФГБУ Центр стратегического планирования медико-биологических рисков ФМБА РФ,Full-stack-веб-программист python/javascript,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/full-stack-veb-programmist-python-33998693.html
5f5b8fee5007de8d97a4ee35,"Республика Башкортостан, Уфа, проспект Октября, 149","БСКБ ""Нефтехимавтоматика""",Разработчик Python,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/razrabotchik-python-34355862.html
5f5b8ff25007de8d97a4ee37,Озерки,Корда Групп,Системный администратор,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/sistemnyj-administrator-34456360.html
